"Customers Who Purchased This Also Purchased","Los clientes que han adquirido esto, también han comprado"
"Enabled","Habilitado"
"Block","Bloque"
"Products Count","Cálculo de productos"
"Append Products","Anexar productos"
"Products, assigned by admin, will not be displayed, if you choose “Disabled”. If you choose “Prepend”, the products will be displayed first. If you choose “Append”, the products will be displayed only if there are available placeholders in the blocks.","Productos asignados por el admin no se muestran si elige “Deshabilitado”. Si elige “Anexar al principio”, los productos se muestran por primeros. Si elige “Anexar al final”, los productos se muestran solo si hay disponibles los marcadores en los bloques."
"Show In Stock Only","Mostrar todo lo que está sólo en stock"
"The system will show only in stock products.","El sistema mostrará sólo productos en stock."
"Append","Anexar al final"
"Prepend","Anexar al principio"
"Disabled","Deshabilitado"
"Related Products","Productos relacionados"
"Up-sells","Ventas dirigidas"
"Cross-sells","Ventas cruzadas"
