"Attribute","Attribuer"
"Sorting Order","Tri en ordre"
"No","Non"
"Yes","Oui"
"Layered Navigation","Navigation stratifiés"
"Show Icons","Montrer des icônes"
"Hide Quantities ","Cacher la quantité"
"Display","Afficher"
"Labels and Icons, One Column","Les labels et les icônes, une colonne"
"Labels and Icons, Two Columns","Les labels et les icônes, deux colonnes"
"Icons Only","Icônes seulement"
"Icons","Icônes"
"Are you sure?","Etes-vous sûr?"
"Delete","Supprimer"
"Save and Continue Edit","Enregistrer et continuer à modifier"
"You are trying to upload more files than allowed by your server's configuration.\nYou can upload only %d file(s) at a time.\nThe following file(s) will not be uploaded:\n%s","Vous essayez de télécharger plus de fichiers que votre 's serveur e configuration 's permis. Vous pouvez télécharger %d fichier(s) seulement à la fois. Le fichier suivant(s) ne sera pas transféré:.. \n%s"
"Attribute Icons","Attribuer les icônes "
"ID","ID"
"Hidden","Caché"
"Position","Position"
"Manage Attribute Icons","Gérer les icônes des attributs"
"Fill Out","Remplir"
"Attribute does not exist","Attribut n'existe pas"
"Attribute icons have been successfully saved","Icônes des attributs ont été sauvegardés avec succès"
"Attribute has been successfully saved, feel free to upload icons","Attribut a été sauvegardé avec succès, n'hésitez pas à télécharger des icônes"
"Unable to find an item to save","Impossible de trouver un élément à enregistrer"
"Unable to find an item to delete","Impossible de trouver un élément à supprimer"
"All attribute icons have been deleted","Toutes les icônes d'attribut ont été supprimés"
"Attribute icon has been deleted","Icône d'attribut a été supprimé"
"There are no products matching the selection.","Il n'y a aucun produit correspondant à la sélection."
"Out of stock","Rupture de stock"
"Learn More","En savoir plus"
"Email to a Friend","Envoyer à un ami"
"Resize","Redimensionner"
"Resize icons for product list page","Redimensionner les icônes pour voir la page de la liste des produits"
"Width","Largeur"
"Height","Hauteur"
"Keep Frame","Garder le cadre"
"Keep Aspect Ratio","Garder les proportions"
"Please insert initialization code in the page template","S'il vous plaît, insérez le code d'initialisation dans le modèle de page"
