"Attribute","Attributo"
"Sorting Order","Ordine di selezione"
"No","No"
"Yes","Si`"
"Layered Navigation","Navigazione a piu` livelli"
"Show Icons","Mostrare icone"
"Hide Quantities ","Nascondere quantita`"
"Display","Display"
"Labels and Icons, One Column","Indicatori e Icone, Una colonna"
"Labels and Icons, Two Columns","Indicatori e Icone, Due colonne"
"Icons Only","Solo Icone"
"Icons","Icone"
"Are you sure?","Sei sicuro?"
"Delete","Cancellare"
"Save and Continue Edit","Salva e continua a modificare"
"You are trying to upload more files than allowed by your server's configuration.\nYou can upload only %d file(s) at a time.\nThe following file(s) will not be uploaded:\n%s","Stai cercando di caricare piu` file di quantita` permessa dalle tue configurazioni del Server.\\n Puoi caricare solo %d file per volta.\\nIl file seguente non sra` caricato:\\n%s"
"Attribute Icons","Icone di Attributi"
"ID","ID"
"Hidden","Nascosto"
"Position","Posizione"
"Manage Attribute Icons","Dirigere Icone di Attributi"
"Fill Out","Compilare"
"Attribute does not exist","Attributo non esiste"
"Attribute icons have been successfully saved","Icone di attributo sono state slavate"
"Attribute has been successfully saved, feel free to upload icons","Attributo e` stato slavato, carica pure icone"
"Unable to find an item to save","Non e` possibile trovare un articolo da salvare"
"Unable to find an item to delete","Non e` possibile trovare un articolo da cancellare"
"All attribute icons have been deleted","Tutte le icone dell'attributo sono state cancellate"
"Attribute icon has been deleted","Icone dell'attributo sono state cancellate"
"There are no products matching the selection.","Non ci sono prodotti coincidenti con selezione."
"Out of stock","Non c'e` nel negozio"
"Learn More","Per saperne di più"
"Email to a Friend","Scrivi Email all'amico"
"Resize","Ridimensionare"
"Resize icons for product list page","Ridimensionare icone per la pagine con lista dei prodotti"
"Width","Larghezza"
"Height","Altezza"
"Keep Frame","Mantenere Frame"
"Keep Aspect Ratio","Mantenere relazione di dimensioni"
"Please insert initialization code in the page template","Inserisci il codice di inizializzazione nel modello di pagina"
